Feature_Set,Feature_Name,Importance_mean,Importance_std
Texture Only,texture_pi_H1_px19,0.0010246913244521328,0.0006308394132937036
Texture Only,texture_pi_H1_px8,0.00026962699160748647,0.00013890099311732448
Texture Only,texture_pi_H1_px3,0.00021778504003476998,0.00012671179839977
Texture Only,texture_pi_H0_px14,2.926597222541743e-05,5.853194445083473e-05
Texture Only,texture_pi_H0_px9,1.7504511710664727e-05,3.5009023421329414e-05
Texture Only,texture_pi_H0_px3,9.275733175501311e-19,1.7012986428928177e-18
Texture Only,texture_pi_H1_px14,0.0,0.0
Texture Only,texture_pi_H1_px9,0.0,0.0
Texture Only,texture_pi_H0_px4,0.0,0.0
Texture Only,texture_betti_curve_H1_bin9,0.0,0.0
Texture Only,texture_betti_curve_H0_bin9,0.0,0.0
Texture Only,texture_pi_H1_px4,0.0,0.0
Disc & Vessel,cup_amp_heat_H0,0.03191377128886656,0.0016471543377901963
Disc & Vessel,vessel_amp_wasserstein_H1,0.028928724648281907,0.004286593239873213
Disc & Vessel,cup_amp_heat_H1,0.028270360318759357,0.002863830314345452
Disc & Vessel,vessel_amp_betti_H1,0.026608548145425837,0.004100191266390879
Disc & Vessel,vessel_amp_landscape_H1,0.018717146401030844,0.0012245648517635289
Disc & Vessel,cup_pi_H0_px24,0.018518794746264618,0.0030093708012770494
Disc & Vessel,vessel_entropy_H1,0.017617500622365858,0.002294117432975179
Disc & Vessel,cup_pi_H1_px24,0.01752377683182554,0.0036581200623746262
Disc & Vessel,cup_pi_H1_px22,0.01726880463127306,0.0025467418009983184
Disc & Vessel,cup_pi_H0_px21,0.01396778676245711,0.00148540503073612
Disc & Vessel,vessel_amp_betti_H0,0.013821407695068288,0.000866282978666676
Disc & Vessel,cup_pi_H0_px23,0.013619052159670594,0.003091480875426162
Disc & Vessel,cup_amp_landscape_H0,0.013556352979419931,0.0021167652436217543
Disc & Vessel,vessel_amp_bottleneck_H1,0.012978511489975055,0.0011156087832964387
Disc & Vessel,cup_amp_wasserstein_H0,0.012898794342495513,0.001716580686497018
Disc & Vessel,vessel_pi_H1_px24,0.01262259555933821,0.000983814887902673
Disc & Vessel,vessel_pi_H0_px23,0.012538787959908643,0.0022358552781238596
Disc & Vessel,vessel_betti_curve_H0_bin8,0.012528090161149677,0.0014015893961137073
Disc & Vessel,vessel_amp_heat_H0,0.0123342987305576,0.0011288765223182308
Disc & Vessel,cup_pi_H1_px21,0.012324177473998475,0.0012264053391589673
Disc & Vessel,vessel_entropy_H0,0.012165401905905327,0.002955068243135038
Disc & Vessel,cup_amp_wasserstein_H1,0.012082846115959573,0.000828765378350274
Disc & Vessel,cup_pi_H1_px23,0.011618904537401784,0.001052995524605762
Disc & Vessel,cup_entropy_H0,0.011527692267168013,0.0010940432561624956
Disc & Vessel,cup_amp_betti_H0,0.011351319580941965,0.0023659583276235997
Disc & Vessel,vessel_amp_wasserstein_H0,0.01135107297313447,0.0024565296066859947
Disc & Vessel,cup_pi_H1_px20,0.011001829163765625,0.0009517898032037819
Disc & Vessel,vessel_betti_curve_H0_bin7,0.01099181355205083,0.0014406940975145413
Disc & Vessel,vessel_pi_H1_px23,0.010868203835221874,0.0014273985314013945
Disc & Vessel,cup_pi_H0_px17,0.01078930268354497,0.0010034808975649882
Disc & Vessel,cup_entropy_H1,0.010567157545818084,0.001102940711341436
Disc & Vessel,cup_amp_betti_H1,0.010554954100300665,0.0008910197671951042
Disc & Vessel,cup_pi_H1_px17,0.010198676000833152,0.0008462087846092932
Disc & Vessel,vessel_pi_H0_px17,0.01017003212668631,0.0010774119542559144
Disc & Vessel,cup_pi_H0_px22,0.01014830923082485,0.00042678802256118447
Disc & Vessel,vessel_betti_curve_H0_bin5,0.010056064807305826,0.0021670242117042098
Disc & Vessel,cup_amp_bottleneck_H1,0.009876044168878606,0.0019180765305375977
Disc & Vessel,vessel_amp_landscape_H0,0.00965230267782453,0.0009227594826357576
Disc & Vessel,cup_pi_H0_px20,0.009598902721186221,0.0012466791357720142
Disc & Vessel,cup_amp_landscape_H1,0.009562408730752227,0.0019811519963109114
Disc & Vessel,vessel_pi_H0_px11,0.00939072743197818,0.0013395739317877081
Disc & Vessel,vessel_betti_curve_H0_bin6,0.009269445472191062,0.002116175047394787
Disc & Vessel,cup_amp_bottleneck_H0,0.008954960801090999,0.0008648205905401997
Disc & Vessel,vessel_pi_H0_px22,0.008562418062820487,0.0014594000715850647
Disc & Vessel,cup_pi_H0_px16,0.008237834137033445,0.0008841448724296224
Disc & Vessel,vessel_amp_bottleneck_H0,0.00823658438210791,0.0015553910829890275
Disc & Vessel,vessel_amp_heat_H1,0.007899554941026168,0.0006040400632498716
Disc & Vessel,vessel_betti_curve_H0_bin4,0.0077756177271035305,0.0023805879651416888
Disc & Vessel,vessel_pi_H1_px22,0.007765698040595526,0.0009303148344518976
Disc & Vessel,vessel_pi_H0_px24,0.007742223773675547,0.001427590120516368
Disc & Vessel,vessel_pi_H1_px12,0.00737558974472031,0.0012098988682762229
Disc & Vessel,vessel_pi_H0_px16,0.007368174073759776,0.000854672979449252
Disc & Vessel,vessel_betti_curve_H1_bin8,0.007266748389679169,0.0008136706938710603
Disc & Vessel,vessel_pi_H0_px0,0.007177904610712165,0.0013344226396441543
Disc & Vessel,vessel_pi_H0_px21,0.007042276682821811,0.0009297493120706751
Disc & Vessel,vessel_pi_H1_px0,0.006819229141813739,0.0015657314380990977
Disc & Vessel,cup_pi_H1_px12,0.006743689188558025,0.0016843700527616305
Disc & Vessel,cup_pi_H0_px18,0.006349464466678056,0.0008249145769142788
Disc & Vessel,vessel_betti_curve_H0_bin3,0.006264537575591468,0.00029104427317274025
Disc & Vessel,vessel_pi_H0_px20,0.006216052692489574,0.0008029302716807256
Disc & Vessel,cup_pi_H1_px16,0.006061729685276683,0.0005967503339339369
Disc & Vessel,cup_betti_curve_H1_bin6,0.006019498755903999,0.000668792002195995
Disc & Vessel,vessel_pi_H1_px20,0.005979707534374423,0.0013245641927295603
Disc & Vessel,cup_betti_curve_H0_bin1,0.0059387886019292594,0.0025305176599941656
Disc & Vessel,cup_betti_curve_H0_bin6,0.005924105973515065,0.0011684111524634428
Disc & Vessel,cup_betti_curve_H0_bin7,0.0058662173858991225,0.000920434591307929
Disc & Vessel,vessel_betti_curve_H1_bin7,0.005821717464528528,0.0006974442036692943
Disc & Vessel,vessel_pi_H1_px17,0.00571075735405641,0.0005675586115818891
Disc & Vessel,vessel_pi_H0_px15,0.00570082654468721,0.0009223115331787019
Disc & Vessel,cup_pi_H0_px12,0.005523404255452259,0.0005084129868409194
Disc & Vessel,cup_pi_H1_px11,0.00551715572944657,0.0015950562823831553
Disc & Vessel,vessel_pi_H0_px10,0.0055008110540446156,0.0011596047129015731
Disc & Vessel,vessel_betti_curve_H1_bin6,0.0053332801365825475,0.0011550271881332226
Disc & Vessel,cup_pi_H1_px18,0.005331460123701237,0.0007789759585245563
Disc & Vessel,cup_betti_curve_H0_bin5,0.005238560089497577,0.000811160935468467
Disc & Vessel,cup_pi_H0_px15,0.005129447950282575,0.001026423655810949
Disc & Vessel,vessel_pi_H1_px18,0.005122931296411992,0.0007677879197985002
Disc & Vessel,cup_betti_curve_H0_bin3,0.005078172047344195,0.000702083508510083
Disc & Vessel,cup_pi_H0_px0,0.004865854196363363,0.0007604504134584327
Disc & Vessel,cup_pi_H1_px7,0.004729783441248879,0.0011572051731381376
Disc & Vessel,cup_pi_H1_px3,0.004707301417005334,0.0007528352779597345
Disc & Vessel,vessel_pi_H0_px5,0.004706599660746967,0.0008942557832863458
Disc & Vessel,vessel_pi_H1_px16,0.00445850332021019,0.0009521171316515096
Disc & Vessel,vessel_pi_H1_px21,0.004431021733324452,0.0006166703388859355
Disc & Vessel,vessel_pi_H1_px10,0.004311260652638789,0.000786040816588905
Disc & Vessel,cup_pi_H1_px15,0.004304732970776076,0.0007267487356284422
Disc & Vessel,cup_betti_curve_H1_bin2,0.00426973132811616,0.0014284725861487145
Disc & Vessel,cup_betti_curve_H1_bin7,0.004247685491170078,0.00041313629387243516
Disc & Vessel,vessel_pi_H1_px11,0.004238437021081658,0.00018418471848669597
Disc & Vessel,cup_betti_curve_H1_bin5,0.004238420267550088,0.0009561672518515605
Disc & Vessel,vessel_pi_H0_px12,0.004188851167561675,0.0010382149161140782
Disc & Vessel,vessel_betti_curve_H0_bin2,0.004182647599396032,0.0004954753504385787
Disc & Vessel,cup_pi_H0_px1,0.004179370195104527,0.000724897425739368
Disc & Vessel,cup_pi_H1_px2,0.004175399692898941,0.00046093307004919037
Disc & Vessel,vessel_betti_curve_H1_bin5,0.004151725674540632,0.00039960764776765967
Disc & Vessel,cup_pi_H1_px10,0.004147702046263937,0.0012479310725007967
Disc & Vessel,vessel_pi_H0_px6,0.004031499992054705,0.00031488255627728145
